Year,Series,Arbeitslosenquoten,Anteil der Arbeitslosen,Value
2013,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,34.4
2014,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,36.9
2015,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,37.1
2016,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,36.8
2017,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,35
2018,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,34.5
2019,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,31.4
2020,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,30.6
2021,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,38.3
2022,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,36.5
2023,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,33.2
2024,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,33.1
2025,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,33.2
2008,Anteil der Arbeitslosen,,Anteil Alleinerziehende,11.1
2009,Anteil der Arbeitslosen,,Anteil Alleinerziehende,10
2010,Anteil der Arbeitslosen,,Anteil Alleinerziehende,9.8
2011,Anteil der Arbeitslosen,,Anteil Alleinerziehende,9.8
2012,Anteil der Arbeitslosen,,Anteil Alleinerziehende,9.9
2013,Anteil der Arbeitslosen,,Anteil Alleinerziehende,10.1
2014,Anteil der Arbeitslosen,,Anteil Alleinerziehende,10.2
2015,Anteil der Arbeitslosen,,Anteil Alleinerziehende,9.6
2016,Anteil der Arbeitslosen,,Anteil Alleinerziehende,9.1
2017,Anteil der Arbeitslosen,,Anteil Alleinerziehende,8.7
2018,Anteil der Arbeitslosen,,Anteil Alleinerziehende,8.3
2019,Anteil der Arbeitslosen,,Anteil Alleinerziehende,8.3
2020,Anteil der Arbeitslosen,,Anteil Alleinerziehende,7.9
2021,Anteil der Arbeitslosen,,Anteil Alleinerziehende,8.1
2022,Anteil der Arbeitslosen,,Anteil Alleinerziehende,8.6
2023,Anteil der Arbeitslosen,,Anteil Alleinerziehende,8.4
2024,Anteil der Arbeitslosen,,Anteil Alleinerziehende,NaN
2008,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,NaN
2009,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,45.6
