Year,Units,Series,Geschlecht,Art der Hilfe,Value
2018,Prozent,Geschlecht,Früheres Bundesgebiet Männer,,8.4
2019,Prozent,Geschlecht,Früheres Bundesgebiet Männer,,8.0
2020,Prozent,Geschlecht,Früheres Bundesgebiet Männer,,8.2
2021,Prozent,Geschlecht,Früheres Bundesgebiet Männer,,7.8
2022,Prozent,Geschlecht,Früheres Bundesgebiet Männer,,8.3
2023,Prozent,Geschlecht,Früheres Bundesgebiet Männer,,8.6
2024,Prozent,Geschlecht,Früheres Bundesgebiet Männer,,8.5
2006,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,16.2
2007,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,15.7
2008,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,14.7
2009,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,14.5
2010,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,13.7
2011,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,13.6
2012,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,13.4
2013,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,13.4
2014,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,13.3
2015,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,13.8
2016,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,12.9
2017,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,12.1
2018,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,11.3
2019,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,10.5
2020,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,10.5
2021,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,9.9
2022,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,10.4
2023,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,10.5
2024,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Männer,,10.5
2006,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.3
2007,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.2
2008,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,7.9
2009,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.0
2010,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,7.7
2011,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,7.7
2012,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,7.7
2013,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.0
2014,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.1
2015,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.6
2016,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.5
2017,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.4
2018,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.0
2019,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,7.7
2020,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,7.8
2021,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,7.5
2022,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.4
2023,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.4
2024,Prozent,Geschlecht,Früheres Bundesgebiet Frauen,,8.3
2006,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,15.0
2007,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,14.7
2008,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,13.9
2009,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,13.5
2010,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,12.7
2011,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,12.6
2012,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,12.5
2013,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,12.5
2014,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,12.3
2015,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,12.1
2016,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,11.4
2017,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,10.7
2018,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,10.0
2019,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,9.2
2020,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,9.1
2021,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,8.5
2022,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,9.3
2023,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,9.2
2024,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) Frauen,,9.1
2006,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,286363.0
2007,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,277729.0
2008,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,265933.0
2009,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,263092.0
2010,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,252749.0
2011,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,252556.0
2012,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,254287.0
2013,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,261085.0
2014,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,269157.0
2015,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,295124.0
2016,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,296061.0
2017,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,287777.0
2018,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,275913.0
2019,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,262776.0
2020,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,263656.0
2021,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,247773.0
2022,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,260279.0
2023,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,266700.0
2024,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,Gesamt,265121.0
2006,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,250657.0
2007,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,241189.0
2008,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,227016.0
2009,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,223701.0
2010,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,211246.0
2011,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,208535.0
2012,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,207297.0
2013,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,209181.0
2014,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,210692.0
2015,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,211892.0
2016,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,219975.0
2017,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,223101.0
2018,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,210752.0
2019,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,198338.0
2020,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,196421.0
2021,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,180693.0
2022,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,191154.0
2023,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,194285.0
2024,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB II,194101.0
2006,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,4767.0
2007,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,4987.0
2008,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,5498.0
2009,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,5580.0
2010,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,6039.0
2011,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,6372.0
2012,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,6599.0
2013,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,7004.0
2014,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,7435.0
2015,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,7580.0
2016,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,7305.0
2017,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,6865.0
2018,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,7060.0
2019,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,6687.0
2020,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,6680.0
2021,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,5855.0
2022,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,5925.0
2023,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,5540.0
2024,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - HLU,5925.0
2006,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,26519.0
2007,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,27358.0
2008,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,29707.0
2009,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,29999.0
2010,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,31425.0
2011,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,33177.0
2012,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,34982.0
2013,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,37346.0
2014,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,38782.0
2015,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,39708.0
2016,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,39305.0
2017,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,41095.0
2018,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,42339.0
2019,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,42253.0
2020,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,43290.0
2021,Leistungsempfängerinnen und Leistungsempfänger,Art der Hilfe,,SGB XII - Grundsicherung,45175.0
